"Trimestre","Centre","1er","2e","3e","4e","5e","6e","7e","8e","9e","10e","11e","12e","13e","14e","15e","16e","17e","18e","19e","20e"
"T1 2008","7870€","8790€","7 020 €","7 850 €","8290€","7 970 €","9820€","9280€","7 900 €","6 320 €","5 560 €","6 020 €","5 860 €","5 940 €","6 690 €","6 580 €","7 280 €","6 280 €","5 520 €","5170€","5 400 €"
"T4 2007","7 810 €","8 310 €","7 120 €","7 820 €","8 420 €","7 720 €","9 460 €","9 000 €","8 080 €","6 190 €","5 440 €","5 960 €","6010€","5 940 €","6 420 €","6 550 €","7 130 €","6240€","5 530 €","5 120 €","5 400 €"
"T3 2007","7 580 €","7 950 €","6770€","7 590 €","8 180 €","7 970 €","9 160 €","8710€","7 460 €","6040€","5 400 €","5860€","5790€","5 980 €","6 440 €","6 470 €","7 000 €","6 150 €","5 370 €","4 990 €","5280€"
"T2 2007","7 240 €","7 330 €","6 600 €","7 320 €","7 750 €","7570€","8 350 €","8720€","7 030 €","5 930 €","5210€","5 600 €","5710€","5730€","6 200 €","6 260 €","6730€","5 860 €","5290€","4 780 €","5090€"
"T1 2007","7170€","7 090 €","6 450 €","7 420 €","7 590 €","7 490 €","8820€","8 190 €","7 510 €","5710€","5 090 €","5 530 €","5 580 €","5 520 €","6 090 €","6 170 €","6 500 €","5 840 €","5 150 €","4 700 €","5010€"
"T4 2006","6870€","6 930 €","6 620 €","6750€","7 530 €","7040€","8 440 €","7 890 €","6920€","5550€","5 000 €","5 400 €","5 490 €","5 450 €","6 030 €","6 060 €","6 490 €","5 590 €","5 120 €","4670€","4830€"
"T3 2006","7 000 €","7 180 €","6520€","6 900 €","7 760 €","7 360 €","8 200 €","7 640 €","6 500 €","5 630 €","4 940 €","5 390 €","5 380 €","5 500 €","6 050 €","5 940 €","6 260 €","5 570 €","5030€","4 560 €","4 800 €"
"T2 2006","6 570 €","6 960 €","6 130 €","6 520 €","7 180 €","7 030 €","7 880 €","7 660 €","6 080 €","5 300 €","4740€","5240€","5 230 €","5 350 €","5 880 €","5 760 €","6 120 €","5 420 €","4790€","4 380 €","4 720 €"
"T1 2006","6 520 €","6 700 €","6 210 €","6 220 €","7 300 €","6810€","7 780 €","7 390 €","6 260 €","5170€","4650€","5 120 €","5 090 €","5240€","5710€","5 630 €","5 960 €","5 380 €","4620€","4 310 €","4540€"
"T4 2005","6 260 €","6 610 €","5740€","6 170 €","6 890 €","6850€","7 310 €","7 160 €","5 920 €","5110€","4 580 €","5010€","4 930 €","5 090 €","5610€","5 660 €","5 960 €","5 160 €","4570€","4 130 €","4 400 €"
"T3 2005","6 180 €","6 170 €","5 700 €","5 980 €","7 120 €","6510€","7560€","7110€","5 940 €","4 980 €","4 440 €","4 960 €","4 860 €","4 990 €","5 530 €","5 540 €","5 640 €","5170€","4 490 €","4 060 €","4290€"
"T2 2005","5870€","6 150 €","5560€","5790€","6 380 €","6 170 €","7 340 €","6 860 €","5730€","4770€","4 160 €","4690€","4640€","4740€","5 350 €","5 140 €","5610€","4 900 €","4220€","3860€","3980€"
"T1 2005","5830€","6 030 €","5 440 €","5750€","6 370 €","6 190 €","6830€","6 450 €","5 600 €","4620€","4 110 €","4 480 €","4510€","4 650 €","5110€","4 950 €","5 370 €","4 750 €","4 050 €","3590€","3 960 €"
"T4 2004","5 720 €","6510€","5240€","5 380 €","6 560 €","6 220 €","6 660 €","6 330 €","5 530 €","4 330 €","3860€","4 280 €","4 350 €","4 490 €","4 830 €","4 850 €","5280€","4 560 €","3840€","3490€","3740€"
"T3 2004","5 360 €","6 090 €","4970€","5 340 €","5 660 €","6 080 €","6750€","6270€","5 090 €","4 400 €","3680€","4 220 €","4270€","4 410 €","4 880 €","4 750 €","5 150 €","4 390 €","3730€","3 420 €","3680€"
"T2 2004","5150€","5 690 €","4 720 €","4 960 €","5880€","5800€","6 580 €","6 370 €","5 360 €","4170€","3560€","4 020 €","4 030 €","4 130 €","4 660 €","4590€","5 100 €","4290€","3540€","3210€","3440€"
"T1 2004","5060€","5610€","4 650 €","4830€","5740€","5790€","6 460 €","6010€","5 160 €","3920€","3290€","3810€","4 000 €","3970€","4 560 €","4 430 €","4 890 €","4050€","3350€","3010€","3330€"
"T4 2003","4 880 €","5 100 €","4610€","4810€","5550€","5 450 €","6110€","5770€","5110€","3760€","3260€","3760€","3770€","4050€","4 320 €","4 300 €","4 720 €","3950€","3290€","3000€","3150€"
"T3 2003","4 660 €","4 700 €","4 150 €","4550€","5 320 €","5240€","6070€","5780€","5 080 €","3820€","3 320 €","3530€","3660€","3880€","4 160 €","4 280 €","4830€","3 950 €","3130€","2 950 €","3110€"
"T2 2003","4520€","4 750 €","4 320 €","4 250 €","5 080 €","5220€","6 000 €","5 430 €","4 900 €","3670€","3070€","3470€","3600€","3700€","4 170 €","4030€","4620€","3710€","2980€","2800€","2900€"
"T1 2003","4 360 €","4 860 €","4090€","3830€","5140€","5030€","6 150 €","5 690 €","4890€","3610€","3080€","3240€","3400€","3480€","3930€","3940€","4 600 €","3610€","2840€","2670€","2790€"
"T4 2002","4 300 €","5010€","3840€","3970€","4 950 €","4750€","5860€","5 380 €","4670€","3460€","2 960 €","3250€","3390€","3390€","3850€","3810€","4570€","3430€","2730€","2590€","2730€"
"T3 2002","4 280 €","4710€","3940€","3950€","4 940 €","4680€","5580€","5020€","4 450 €","3440€","2760€","3200€","3190€","3380€","3790€","3760€","4 440 €","3 480 €","2 690 €","2570€","2590€"
"T2 2002","3920€","4210€","3390€","3730€","4470€","4560€","5 430 €","5210€","4740€","3280€","2 680 €","2990€","3180€","3140€","3600€","3570€","4230€","3 300 €","2610€","2410€","2510€"
"T1 2002","3940€","3720€","3580€","3650€","4 660 €","4 340 €","5210€","4870€","4440€","3230€","2550€","2900€","3000€","3 100 €","3540€","3480€","4 160 €","3230€","2510€","2340€","2450€"
"T4 2001","3830€","3940€","3440€","3610€","4 320 €","4470€","5 400 €","4940€","4270€","3170€","2540€","2900€","2950€","3090€","3470€","3460€","4220€","3 160 €","2 450 €","2320€","2380€"

"Trimestre","Centre","1er","2e","3e","4e","5e","6e","7e","8e","9e","10e","11e","12e","13e","14e","15e","16e","17e","18e","19e","20e"
"T3 2001","3810€","4 150 €","3350€","3560€","4 480 €","4310€","5220€","5090€","4 330 €","3220€","2550€","2880€","3020€","3090€","3410€","3450€","4 130 €","3160€","2 460 €","2320€","2 400 €"
"T2 2001","3650€","3930€","3200€","3 600 €","4010€","4210€","5110€","4 760 €","4210€","3130€","2390€","2740€","2890€","2890€","3 440 €","3 360 €","4 030 €","3020€","2 360 €","2 200 €","2310€"
"T1 2001","3740€","3780€","3290€","3 460 €","4 420 €","4 170 €","5 180 €","4 860 €","4 000 €","3040€","2 300 €","2730€","2810€","2 900 €","3230€","3240€","3980€","3140€","2350€","2140€","2210€"
"T4 2000","3 420 €","3500€","3020€","3290€","4 110 €","4090€","5 050 €","4 720 €","3910€","2880€","2240€","2 600 €","2740€","2770€","3200€","3240€","3870€","2990€","2310€","2 150 €","2230€"
"T3 2000","3 560 €","3690€","3090€","3430€","4290€","3940€","4870€","4650€","3710€","2900€","2310€","2710€","2 630 €","2780€","3230€","3250€","3840€","2930€","2140€","2120€","2220€"
"T2 2000","3 460 €","3900€","2790€","3340€","4 080 €","3850€","4610€","4 660 €","3630€","2700€","2 180 €","2570€","2 640 €","2 660 €","3250€","3080€","3780€","2910€","2120€","2050€","2130€"
"T1 2000","3290€","3580€","2790€","3100€","4 020 €","3790€","4 440 €","4 230 €","3480€","2520€","2190€","2 460 €","2530€","2 560 €","3040€","3 060 €","3720€","2 640 €","2100€","1940€","2180€"
"T4 1999","3030€","3 370 €","2580€","3040€","3560€","3580€","4 490 €","4 190 €","3380€","2620€","2010€","2330€","2 400 €","2 460 €","2 930 €","2 940 €","3470€","2710€","1980€","1 880 €","2 060 €"
"T3 1999","2 950 €","3140€","2 480 €","2840€","3620€","3530€","4 350 €","4 080 €","3290€","2 450 €","2 030 €","2290€","2410€","2 440 €","2 950 €","2820€","3410€","2520€","1 980 €","1 910 €","2030€"
"T2 1999","2930€","3410€","2 650 €","2 680 €","3440€","3 340 €","3840€","3920€","3030€","2 400 €","1 840 €","2 200 €","2210€","2 340 €","2760€","2710€","3230€","2 490 €","1 850 €","1 810 €","1940€"
"T1 1999","2820€","3030€","2 440 €","2 690 €","3350€","3210€","4 260 €","3940€","3 100 €","2 290 €","1 890 €","2 100 €","2270€","2 270 €","2 650 €","2 650 €","3210€","2330€","1850€","1750€","1830€"
"T4 1998","2770€","2900€","2 490 €","2520€","3440€","3270€","3680€","3700€","3040€","2 280 €","1 800 €","2 080 €","2190€","2210€","2590€","2 600 €","2 970 €","2340€","1830€","1750€","1 810 €"
"T3 1998","2 640 €","2 780 €","2 360 €","2530€","3190€","3140€","3770€","3630€","2790€","2210€","1760€","2 060 €","2 200 €","2 260 €","2 680 €","2550€","3040€","2330€","1810€","1720€","1830€"
"T2 1998","2 610 €","2580€","2 360 €","2620€","3050€","3060€","3650€","3640€","2770€","2 190 €","1780€","2010€","2 150 €","2230€","2540€","2550€","2 990 €","2 300 €","1740€","1740€","1830€"
"T1 1998","2 630 €","3010€","2330€","2 490 €","3120€","3120€","3600€","3240€","2710€","2 160 €","1 700 €","1940€","2 100 €","2 130 €","2 600 €","2520€","3000€","2 260 €","1750€","1680€","1780€"
"T4 1997","2 600 €","2880€","2280€","2510€","3130€","3140€","3570€","3 300 €","2810€","2120€","1 830 €","1 980 €","2 080 €","2240€","2590€","2580€","2 950 €","2250€","1790€","1710€","1870€"
"T3 1997","2710€","2 690 €","2 490 €","2 600 €","3030€","3070€","3270€","3220€","3350€","2120€","1680€","2010€","2 060 €","2 190 €","2550€","2570€","2840€","2 280 €","1 860 €","1 810 €","1770€"
"T2 1997","2 680 €","3010€","2 160 €","2 640 €","3070€","3030€","3760€","3330€","3 160 €","2 060 €","1640€","1 980 €","2 060 €","2 200 €","2 450 €","2520€","3010€","2230€","1770€","1810€","1 810 €"
"T1 1997","2 640 €","2880€","2 360 €","2 480 €","2970€","3080€","3490€","3 360 €","3 160 €","1950€","1650€","1970€","2040€","2170€","2 440 €","2500€","2850€","2250€","1750€","1 800 €","1850€"
